"id","domain","jobTitle","level","source","jobDescription","mustSkills","plusSkills","scenes"
"JD-015","智能系统","智能系统物联网解决方案工程师","高级","行业白皮书","在智能系统与智慧城市融合演进的大背景下，智能系统物联网解决方案工程师岗位的重要性持续凸显。本岗位围绕MQTT、边缘网关 以及 时序数据库构建数字化底座能力，推动物联网解决方案架构相关技术在业务中的标准化与规模化应用，支撑智能系统长期演进。我们期待候选人具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员、掌握MQTT、边缘网关 以及 时序数据库。","MQTT|边缘网关|时序数据库","Docker|Git|监控告警","智慧城市"
"JD-016","物联网","物联网机器学习工程师","初级","招聘平台A","在企业数字化场景下负责物联网机器学习工程师相关工作，聚焦物联场景机器学习应用方向。岗位职责覆盖RAG、向量数据库、LLM应用开发相关的建设与交付：参与需求与方案评审，跟进开发、测试与联调发布全流程，持续优化运行效率。任职要求：具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务，熟悉RAG、向量数据库、LLM应用开发。加分项：Docker、Git 与监控告警。","RAG|向量数据库|LLM应用开发","Docker|Git|监控告警","企业数字化"
"JD-017","人工智能","人工智能数据治理工程师","中级","招聘平台B","我们正在为智能制造方向组建人工智能数据治理工程师团队，你将深入AI 数据治理与工程化项目，独立承担TensorFlow、Kubeflow 及 MLOps相关模块的开发与交付，与产品、测试协同推进模型工程落地，并对稳定性负责。要求能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力，熟练使用TensorFlow、Kubeflow 及 MLOps；有Docker、Git 与监控告警经验者加分。","TensorFlow|Kubeflow|MLOps","Docker|Git|监控告警","智能制造"
"JD-018","大数据","大数据边缘计算工程师","高级","行业白皮书","伴随大数据在智慧城市的快速发展，大数据边缘计算工程师正成为实时离线一体化的关键角色。岗位重点推进Flink CDC、ClickHouse 以及 数据质量的体系化建设，助力实时离线一体化在业务中的标准化应用与大数据长期发展。任职要求：具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员，对Flink CDC、ClickHouse 以及 数据质量有深入理解。","Flink CDC|ClickHouse|数据质量","Docker|Git|监控告警","智慧城市"
"JD-019","智能系统","智能系统智能制造工程师","初级","招聘平台A","负责企业数字化场景下的智能系统智能制造工程师工作，方向聚焦智能推理与制造数字化。工作围绕C++、CUDA、TensorRT、推理优化的工程化落地展开：承担需求分析、方案设计与开发联调，保障版本稳定发布，并持续打磨性能。任职要求：具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务，对C++、CUDA、TensorRT、推理优化有实际使用经验。加分项：Docker、Git 与监控告警。","C++|CUDA|TensorRT|推理优化","Docker|Git|监控告警","企业数字化"
"JD-020","物联网","物联网知识图谱工程师","中级","招聘平台B","加入智能制造方向的物联网知识图谱工程师岗位，你将参与物联知识图谱构建项目，承担Java、Neo4j 及 图谱构建相关模块的设计与实现，跨团队协作推进物联场景落地，对性能目标负责。期望你能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力、熟悉Java、Neo4j 及 图谱构建；有Docker、Git 与监控告警相关经验者优先考虑。","Java|Neo4j|图谱构建","Docker|Git|监控告警","智能制造"
"JD-021","人工智能","人工智能算法工程师","高级","行业白皮书","在人工智能与智慧城市融合演进的大背景下，人工智能算法工程师岗位的重要性持续凸显。本岗位围绕Python、PyTorch 以及 模型训练与评测构建数据驱动能力，推动算法研发与模型落地相关技术在业务中的标准化与规模化应用，支撑人工智能长期演进。我们期待候选人具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员、掌握Python、PyTorch 以及 模型训练与评测。","Python|PyTorch|模型训练与评测","Docker|Git|监控告警","智慧城市"
"JD-022","大数据","大数据数据工程师","初级","招聘平台A","在企业数字化场景下负责大数据数据工程师相关工作，聚焦数据链路开发与平台建设方向。岗位职责覆盖Java、Spring Boot、Kafka、微服务相关的建设与交付：参与需求与方案评审，跟进开发、测试与联调发布全流程，持续优化运行效率。任职要求：具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务，熟悉Java、Spring Boot、Kafka、微服务。加分项：Docker、Git 与监控告警。","Java|Spring Boot|Kafka|微服务","Docker|Git|监控告警","企业数字化"
"JD-023","智能系统","智能系统平台开发工程师","中级","招聘平台B","我们正在为智能制造方向组建智能系统平台开发工程师团队，你将深入平台能力建设与系统开发项目，独立承担Spark、Flink、Hive 及 数据仓库相关模块的开发与交付，与产品、测试协同推进系统平台落地，并对可维护性负责。要求能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力，熟练使用Spark、Flink、Hive 及 数据仓库；有Docker、Git 与监控告警经验者加分。","Spark|Flink|Hive|数据仓库","Docker|Git|监控告警","智能制造"
"JD-024","物联网","物联网智能系统工程师","高级","行业白皮书","在物联网与智慧城市融合演进的大背景下，物联网智能系统工程师岗位的重要性持续凸显。本岗位围绕C++、ROS2、Linux 以及 实时控制构建边缘侧计算能力，推动智能系统开发与设备协同相关技术在业务中的标准化与规模化应用，支撑物联网长期演进。我们期待候选人具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员、掌握C++、ROS2、Linux 以及 实时控制。","C++|ROS2|Linux|实时控制","Docker|Git|监控告警","智慧城市"
"JD-025","人工智能","人工智能物联网解决方案工程师","初级","招聘平台A","负责企业数字化场景下的人工智能物联网解决方案工程师工作，方向聚焦端云协同解决方案设计。工作围绕MQTT、边缘网关、时序数据库的工程化落地展开：承担需求分析、方案设计与开发联调，保障版本稳定发布，并持续打磨交付质量。任职要求：具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务，对MQTT、边缘网关、时序数据库有实际使用经验。加分项：Docker、Git 与监控告警。","MQTT|边缘网关|时序数据库","Docker|Git|监控告警","企业数字化"
"JD-026","大数据","大数据机器学习工程师","中级","招聘平台B","我们正在为智能制造方向组建大数据机器学习工程师团队，你将深入机器学习应用与工程化项目，独立承担RAG、向量数据库 及 LLM应用开发相关模块的开发与交付，与产品、测试协同推进数据驱动决策落地，并对稳定性负责。要求能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力，熟练使用RAG、向量数据库 及 LLM应用开发；有Docker、Git 与监控告警经验者加分。","RAG|向量数据库|LLM应用开发","Docker|Git|监控告警","智能制造"
"JD-027","智能系统","智能系统数据治理工程师","高级","行业白皮书","随着智能系统在智慧城市的深化应用，智能系统数据治理工程师成为支撑智慧化场景的重要力量。该角色聚焦TensorFlow、Kubeflow 以及 MLOps的能力建设，促进相关技术在智慧城市场景的规模化落地，并为智能系统发展夯实基础。任职要求：具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员，掌握TensorFlow、Kubeflow 以及 MLOps。","TensorFlow|Kubeflow|MLOps","Docker|Git|监控告警","智慧城市"
"JD-028","物联网","物联网边缘计算工程师","初级","招聘平台A","面向企业数字化场景承担物联网边缘计算工程师职责，重点围绕边缘计算能力建设推进。主要职责包括：围绕Flink CDC、ClickHouse、数据质量开展能力建设与落地；参与需求澄清与技术方案评审，配合完成版本迭代与联调发布；关注稳定性并持续改进。我们希望候选人具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务、熟悉Flink CDC、ClickHouse、数据质量；加分项：Docker、Git 与监控告警。","Flink CDC|ClickHouse|数据质量","Docker|Git|监控告警","企业数字化"
"JD-029","人工智能","人工智能智能制造工程师","中级","招聘平台B","本团队专注智能制造场景的人工智能智能制造工程师方向，你将加入智能推理与制造场景落地项目组，负责C++、CUDA、TensorRT 及 推理优化相关能力的研发与交付，联动产品与测试共同推进智能化应用建设，持续保障可观测性。希望你能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力，掌握C++、CUDA、TensorRT 及 推理优化；具备Docker、Git 与监控告警经验者优先。","C++|CUDA|TensorRT|推理优化","Docker|Git|监控告警","智能制造"
"JD-030","大数据","大数据知识图谱工程师","高级","行业白皮书","随着大数据在智慧城市的深化应用，大数据知识图谱工程师成为支撑规模化数据的重要力量。该角色聚焦Java、Neo4j 以及 图谱构建的能力建设，促进相关技术在智慧城市场景的规模化落地，并为大数据发展夯实基础。任职要求：具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员，掌握Java、Neo4j 以及 图谱构建。","Java|Neo4j|图谱构建","Docker|Git|监控告警","智慧城市"
"JD-031","智能系统","智能系统算法工程师","初级","招聘平台A","在企业数字化场景下负责智能系统算法工程师相关工作，聚焦算法研发与系统融合方向。岗位职责覆盖Python、PyTorch、模型训练与评测相关的建设与交付：参与需求与方案评审，跟进开发、测试与联调发布全流程，持续优化可观测性。任职要求：具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务，熟悉Python、PyTorch、模型训练与评测。加分项：Docker、Git 与监控告警。","Python|PyTorch|模型训练与评测","Docker|Git|监控告警","企业数字化"
"JD-032","物联网","物联网数据工程师","中级","招聘平台B","加入智能制造方向的物联网数据工程师岗位，你将参与物联网数据链路开发项目，承担Java、Spring Boot、Kafka 及 微服务相关模块的设计与实现，跨团队协作推进设备接入落地，对交付质量目标负责。期望你能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力、熟悉Java、Spring Boot、Kafka 及 微服务；有Docker、Git 与监控告警相关经验者优先考虑。","Java|Spring Boot|Kafka|微服务","Docker|Git|监控告警","智能制造"
"JD-033","人工智能","人工智能平台开发工程师","高级","行业白皮书","伴随人工智能在智慧城市的快速发展，人工智能平台开发工程师正成为算法工程的关键角色。岗位重点推进Spark、Flink、Hive 以及 数据仓库的体系化建设，助力算法工程在业务中的标准化应用与人工智能长期发展。任职要求：具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员，对Spark、Flink、Hive 以及 数据仓库有深入理解。","Spark|Flink|Hive|数据仓库","Docker|Git|监控告警","智慧城市"
"JD-034","大数据","大数据智能系统工程师","初级","招聘平台A","负责企业数字化场景下的大数据智能系统工程师工作，方向聚焦智能系统开发与实时控制。工作围绕C++、ROS2、Linux、实时控制的工程化落地展开：承担需求分析、方案设计与开发联调，保障版本稳定发布，并持续打磨性能。任职要求：具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务，对C++、ROS2、Linux、实时控制有实际使用经验。加分项：Docker、Git 与监控告警。","C++|ROS2|Linux|实时控制","Docker|Git|监控告警","企业数字化"
"JD-035","智能系统","智能系统物联网解决方案工程师","中级","招聘平台B","我们正在为智能制造方向组建智能系统物联网解决方案工程师团队，你将深入物联网解决方案架构项目，独立承担MQTT、边缘网关 及 时序数据库相关模块的开发与交付，与产品、测试协同推进数字化底座落地，并对稳定性负责。要求能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力，熟练使用MQTT、边缘网关 及 时序数据库；有Docker、Git 与监控告警经验者加分。","MQTT|边缘网关|时序数据库","Docker|Git|监控告警","智能制造"
"JD-036","物联网","物联网机器学习工程师","高级","行业白皮书","随着物联网在智慧城市的深化应用，物联网机器学习工程师成为支撑端云协同的重要力量。该角色聚焦RAG、向量数据库 以及 LLM应用开发的能力建设，促进相关技术在智慧城市场景的规模化落地，并为物联网发展夯实基础。任职要求：具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员，掌握RAG、向量数据库 以及 LLM应用开发。","RAG|向量数据库|LLM应用开发","Docker|Git|监控告警","智慧城市"
"JD-037","人工智能","人工智能数据治理工程师","初级","招聘平台A","面向企业数字化场景承担人工智能数据治理工程师职责，重点围绕AI 数据治理与工程化推进。主要职责包括：围绕TensorFlow、Kubeflow、MLOps开展能力建设与落地；参与需求澄清与技术方案评审，配合完成版本迭代与联调发布；关注稳定性并持续改进。我们希望候选人具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务、熟悉TensorFlow、Kubeflow、MLOps；加分项：Docker、Git 与监控告警。","TensorFlow|Kubeflow|MLOps","Docker|Git|监控告警","企业数字化"
"JD-038","大数据","大数据边缘计算工程师","中级","招聘平台B","加入智能制造方向的大数据边缘计算工程师岗位，你将参与边缘数据链路与实时分析项目，承担Flink CDC、ClickHouse 及 数据质量相关模块的设计与实现，跨团队协作推进实时离线一体化落地，对交付质量目标负责。期望你能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力、熟悉Flink CDC、ClickHouse 及 数据质量；有Docker、Git 与监控告警相关经验者优先考虑。","Flink CDC|ClickHouse|数据质量","Docker|Git|监控告警","智能制造"
"JD-039","智能系统","智能系统智能制造工程师","高级","行业白皮书","伴随智能系统在智慧城市的快速发展，智能系统智能制造工程师正成为多系统协同的关键角色。岗位重点推进C++、CUDA、TensorRT 以及 推理优化的体系化建设，助力多系统协同在业务中的标准化应用与智能系统长期发展。任职要求：具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员，对C++、CUDA、TensorRT 以及 推理优化有深入理解。","C++|CUDA|TensorRT|推理优化","Docker|Git|监控告警","智慧城市"
"JD-040","物联网","物联网知识图谱工程师","初级","招聘平台A","负责企业数字化场景下的物联网知识图谱工程师工作，方向聚焦物联知识图谱构建。工作围绕Java、Neo4j、图谱构建的工程化落地展开：承担需求分析、方案设计与开发联调，保障版本稳定发布，并持续打磨性能。任职要求：具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务，对Java、Neo4j、图谱构建有实际使用经验。加分项：Docker、Git 与监控告警。","Java|Neo4j|图谱构建","Docker|Git|监控告警","企业数字化"
"JD-041","人工智能","人工智能算法工程师","中级","招聘平台B","我们正在为智能制造方向组建人工智能算法工程师团队，你将深入算法研发与模型落地项目，独立承担Python、PyTorch 及 模型训练与评测相关模块的开发与交付，与产品、测试协同推进数据驱动落地，并对可维护性负责。要求能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力，熟练使用Python、PyTorch 及 模型训练与评测；有Docker、Git 与监控告警经验者加分。","Python|PyTorch|模型训练与评测","Docker|Git|监控告警","智能制造"
"JD-042","大数据","大数据数据工程师","高级","行业白皮书","随着大数据在智慧城市的深化应用，大数据数据工程师成为支撑数据平台的重要力量。该角色聚焦Java、Spring Boot、Kafka 以及 微服务的能力建设，促进相关技术在智慧城市场景的规模化落地，并为大数据发展夯实基础。任职要求：具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员，掌握Java、Spring Boot、Kafka 以及 微服务。","Java|Spring Boot|Kafka|微服务","Docker|Git|监控告警","智慧城市"
"JD-043","智能系统","智能系统平台开发工程师","初级","招聘平台A","面向企业数字化场景承担智能系统平台开发工程师职责，重点围绕平台能力建设与系统开发推进。主要职责包括：围绕Spark、Flink、Hive、数据仓库开展能力建设与落地；参与需求澄清与技术方案评审，配合完成版本迭代与联调发布；关注可维护性并持续改进。我们希望候选人具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务、熟悉Spark、Flink、Hive、数据仓库；加分项：Docker、Git 与监控告警。","Spark|Flink|Hive|数据仓库","Docker|Git|监控告警","企业数字化"
"JD-044","物联网","物联网智能系统工程师","中级","招聘平台B","我们正在为智能制造方向组建物联网智能系统工程师团队，你将深入智能系统开发与设备协同项目，独立承担C++、ROS2、Linux 及 实时控制相关模块的开发与交付，与产品、测试协同推进边缘侧计算落地，并对可维护性负责。要求能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力，熟练使用C++、ROS2、Linux 及 实时控制；有Docker、Git 与监控告警经验者加分。","C++|ROS2|Linux|实时控制","Docker|Git|监控告警","智能制造"
"JD-045","人工智能","人工智能物联网解决方案工程师","高级","行业白皮书","伴随人工智能在智慧城市的快速发展，人工智能物联网解决方案工程师正成为AI 工程化的关键角色。岗位重点推进MQTT、边缘网关 以及 时序数据库的体系化建设，助力AI 工程化在业务中的标准化应用与人工智能长期发展。任职要求：具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员，对MQTT、边缘网关 以及 时序数据库有深入理解。","MQTT|边缘网关|时序数据库","Docker|Git|监控告警","智慧城市"
"JD-046","大数据","大数据机器学习工程师","初级","招聘平台A","面向企业数字化场景承担大数据机器学习工程师职责，重点围绕机器学习应用与工程化推进。主要职责包括：围绕RAG、向量数据库、LLM应用开发开展能力建设与落地；参与需求澄清与技术方案评审，配合完成版本迭代与联调发布；关注稳定性并持续改进。我们希望候选人具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务、熟悉RAG、向量数据库、LLM应用开发；加分项：Docker、Git 与监控告警。","RAG|向量数据库|LLM应用开发","Docker|Git|监控告警","企业数字化"
"JD-047","智能系统","智能系统数据治理工程师","中级","招聘平台B","本团队专注智能制造场景的智能系统数据治理工程师方向，你将加入数据治理体系建设项目组，负责TensorFlow、Kubeflow 及 MLOps相关能力的研发与交付，联动产品与测试共同推进智慧化场景建设，持续保障运行效率。希望你能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力，掌握TensorFlow、Kubeflow 及 MLOps；具备Docker、Git 与监控告警经验者优先。","TensorFlow|Kubeflow|MLOps","Docker|Git|监控告警","智能制造"
"JD-048","物联网","物联网边缘计算工程师","高级","行业白皮书","在物联网与智慧城市融合演进的大背景下，物联网边缘计算工程师岗位的重要性持续凸显。本岗位围绕Flink CDC、ClickHouse 以及 数据质量构建连接与数据能力，推动边缘计算能力建设相关技术在业务中的标准化与规模化应用，支撑物联网长期演进。我们期待候选人具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员、掌握Flink CDC、ClickHouse 以及 数据质量。","Flink CDC|ClickHouse|数据质量","Docker|Git|监控告警","智慧城市"
"JD-049","人工智能","人工智能智能制造工程师","初级","招聘平台A","在企业数字化场景下负责人工智能智能制造工程师相关工作，聚焦智能推理与制造场景落地方向。岗位职责覆盖C++、CUDA、TensorRT、推理优化相关的建设与交付：参与需求与方案评审，跟进开发、测试与联调发布全流程，持续优化可观测性。任职要求：具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务，熟悉C++、CUDA、TensorRT、推理优化。加分项：Docker、Git 与监控告警。","C++|CUDA|TensorRT|推理优化","Docker|Git|监控告警","企业数字化"
"JD-050","大数据","大数据知识图谱工程师","中级","招聘平台B","本团队专注智能制造场景的大数据知识图谱工程师方向，你将加入知识图谱构建与应用项目组，负责Java、Neo4j 及 图谱构建相关能力的研发与交付，联动产品与测试共同推进规模化数据建设，持续保障可观测性。希望你能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力，掌握Java、Neo4j 及 图谱构建；具备Docker、Git 与监控告警经验者优先。","Java|Neo4j|图谱构建","Docker|Git|监控告警","智能制造"
"JD-051","智能系统","智能系统算法工程师","高级","行业白皮书","随着智能系统在智慧城市的深化应用，智能系统算法工程师成为支撑平台化能力的重要力量。该角色聚焦Python、PyTorch 以及 模型训练与评测的能力建设，促进相关技术在智慧城市场景的规模化落地，并为智能系统发展夯实基础。任职要求：具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员，掌握Python、PyTorch 以及 模型训练与评测。","Python|PyTorch|模型训练与评测","Docker|Git|监控告警","智慧城市"
"JD-052","物联网","物联网数据工程师","初级","招聘平台A","负责企业数字化场景下的物联网数据工程师工作，方向聚焦物联网数据链路开发。工作围绕Java、Spring Boot、Kafka、微服务的工程化落地展开：承担需求分析、方案设计与开发联调，保障版本稳定发布，并持续打磨交付质量。任职要求：具备扎实的计算机基础与良好的学习能力，可在指导下独立完成开发与验证任务，对Java、Spring Boot、Kafka、微服务有实际使用经验。加分项：Docker、Git 与监控告警。","Java|Spring Boot|Kafka|微服务","Docker|Git|监控告警","企业数字化"
"JD-053","人工智能","人工智能平台开发工程师","中级","招聘平台B","加入智能制造方向的人工智能平台开发工程师岗位，你将参与平台化能力与工程效能建设项目，承担Spark、Flink、Hive 及 数据仓库相关模块的设计与实现，跨团队协作推进算法工程落地，对性能目标负责。期望你能独立负责模块设计、开发与联调，具备良好的工程实践与问题定位能力、熟悉Spark、Flink、Hive 及 数据仓库；有Docker、Git 与监控告警相关经验者优先考虑。","Spark|Flink|Hive|数据仓库","Docker|Git|监控告警","智能制造"
"JD-054","大数据","大数据智能系统工程师","高级","行业白皮书","伴随大数据在智慧城市的快速发展，大数据智能系统工程师正成为数据处理链路的关键角色。岗位重点推进C++、ROS2、Linux 以及 实时控制的体系化建设，助力数据处理链路在业务中的标准化应用与大数据长期发展。任职要求：具备架构设计与技术规划能力，可主导方向落地、评审技术方案并指导团队成员，对C++、ROS2、Linux 以及 实时控制有深入理解。","C++|ROS2|Linux|实时控制","Docker|Git|监控告警","智慧城市"
